product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,target,failure_type,Temperature Difference,wear_torque_ratio,risk_level,equipment_age_years,maintenance_date
M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,10.5,0.0,Low Risk,9,2024-01-01 00:00:00
L47181,L,298.2,308.7,1408,46.3,3,0,No Failure,10.5,0.06479481641468683,Low Risk,10,2024-01-01 01:00:00
L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,10.399999999999977,0.10121457489878542,Low Risk,8,2024-01-01 02:00:00
L47183,L,298.2,308.6,1433,39.5,7,0,No Failure,10.400000000000034,0.17721518987341772,Low Risk,12,2024-01-01 03:00:00
L47184,L,298.2,308.7,1408,40.0,9,0,No Failure,10.5,0.225,Low Risk,7,2024-01-01 04:00:00
M14865,M,298.1,308.6,1425,41.9,11,0,No Failure,10.5,0.26252983293556087,Low Risk,2,2024-01-01 05:00:00
L47186,L,298.1,308.6,1558,42.4,14,0,No Failure,10.5,0.33018867924528306,Low Risk,13,2024-01-01 06:00:00
L47187,L,298.1,308.6,1527,40.2,16,0,No Failure,10.5,0.3980099502487562,Low Risk,14,2024-01-01 07:00:00
M14868,M,298.3,308.7,1667,28.6,18,0,No Failure,10.399999999999977,0.6293706293706294,Low Risk,7,2024-01-01 08:00:00
M14869,M,298.5,309.0,1741,28.0,21,0,No Failure,10.5,0.75,Low Risk,7,2024-01-01 09:00:00
H29424,H,298.4,308.9,1782,23.9,24,0,No Failure,10.5,1.00418410041841,Low Risk,10,2024-01-01 10:00:00
H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,10.5,0.654627539503386,Low Risk,7,2024-01-01 11:00:00
M14872,M,298.6,309.1,1339,51.1,34,0,No Failure,10.5,0.6653620352250489,Low Risk,14,2024-01-01 12:00:00
M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,10.599999999999966,1.2333333333333334,Low Risk,14,2024-01-01 13:00:00
L47194,L,298.6,309.2,2035,19.6,40,0,No Failure,10.599999999999966,2.0408163265306123,Low Risk,3,2024-01-01 14:00:00
L47195,L,298.6,309.2,1542,48.4,42,0,No Failure,10.599999999999966,0.8677685950413223,Low Risk,9,2024-01-01 15:00:00
M14876,M,298.6,309.2,1311,46.6,44,0,No Failure,10.599999999999966,0.944206008583691,Low Risk,2,2024-01-01 16:00:00
M14877,M,298.7,309.2,1410,45.6,47,0,No Failure,10.5,1.030701754385965,Low Risk,13,2024-01-01 17:00:00
H29432,H,298.8,309.2,1306,54.5,50,0,No Failure,10.399999999999977,0.9174311926605505,Low Risk,9,2024-01-01 18:00:00
M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,10.400000000000034,1.6923076923076923,Low Risk,13,2024-01-01 19:00:00
H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,10.400000000000034,1.3583138173302107,Low Risk,8,2024-01-01 20:00:00
L47201,L,298.8,309.3,1450,44.8,63,0,No Failure,10.5,1.40625,Low Risk,9,2024-01-01 21:00:00
M14882,M,298.9,309.3,1581,30.7,65,0,No Failure,10.400000000000034,2.1172638436482085,Low Risk,5,2024-01-01 22:00:00
L47203,L,299.0,309.4,1758,25.7,68,0,No Failure,10.399999999999977,2.6459143968871595,Low Risk,9,2024-01-01 23:00:00
M14884,M,299.0,309.4,1561,37.3,70,0,No Failure,10.399999999999977,1.8766756032171583,Low Risk,3,2024-01-02 00:00:00
L47205,L,299.0,309.5,1861,23.3,73,0,No Failure,10.5,3.133047210300429,Low Risk,3,2024-01-02 01:00:00
L47206,L,299.1,309.5,1512,39.0,75,0,No Failure,10.399999999999977,1.9230769230769231,Low Risk,3,2024-01-02 02:00:00
